amount,location,timestamp,business_account,location_flag,odd_time,large_amount,label
868,Delhi,2024-10-08 15:17:28,0,1,0,0,0
1011,Uttar Pradesh,2024-04-11 06:56:00,1,0,0,0,0
477,Karnataka,2024-04-02 13:27:18,1,0,0,0,0
2784,Delhi,2024-01-07 10:09:17,1,1,0,0,0
990,Delhi,2024-01-23 19:04:23,1,1,0,0,0
91,Karnataka,2024-10-07 22:32:07,0,0,0,0,0
314,Telangana,2024-02-08 10:25:57,0,0,0,0,0
264,Maharashtra,2024-10-27 18:47:02,0,0,0,0,0
887,Maharashtra,2024-11-21 09:39:16,0,0,0,0,0
3260,Delhi,2024-11-11 15:58:56,1,1,0,0,0
587,Karnataka,2024-04-07 20:14:41,0,0,0,0,0
518,Gujarat,2024-12-24 10:44:57,1,0,0,0,0
73,Uttar Pradesh,2024-11-16 20:09:14,0,0,0,0,0
430,Gujarat,2024-04-10 00:51:10,1,0,1,0,0
544,Uttar Pradesh,2024-02-03 12:35:08,0,0,0,0,0
1346,Rajasthan,2024-11-09 15:21:26,1,0,0,0,0
171,Delhi,2024-01-25 07:27:23,0,1,0,0,0
189,Gujarat,2024-05-19 18:38:15,1,0,0,0,0
799,Karnataka,2024-11-11 22:08:37,0,0,0,0,0
450,Tamil Nadu,2024-06-13 18:25:14,0,0,0,0,0
1341,Karnataka,2024-05-19 10:41:07,0,0,0,0,0
280,Maharashtra,2024-11-02 17:13:53,0,0,0,0,0
397,Delhi,2024-10-18 04:35:41,1,1,1,0,0
1847,Gujarat,2024-01-21 07:57:52,1,0,0,0,0
690,Tamil Nadu,2024-01-24 10:43:32,1,0,0,0,0
218,Karnataka,2024-07-01 12:01:59,0,0,0,0,0
1276,Karnataka,2024-08-28 21:10:26,0,0,0,0,0
146,Delhi,2024-11-09 18:49:43,1,1,0,0,0
1755,Delhi,2024-09-09 15:24:19,1,1,0,0,0
165,Rajasthan,2024-10-18 17:43:42,0,0,0,0,0
1495,Gujarat,2024-12-20 16:15:02,0,0,0,0,0
394,Gujarat,2024-12-17 16:45:04,1,0,0,0,0
1693,Telangana,2024-05-11 16:47:57,1,0,0,0,0
144,Maharashtra,2024-05-25 13:30:27,1,0,0,0,0
1804,Telangana,2024-02-23 07:27:48,1,0,0,0,0
721,Gujarat,2024-04-19 22:12:13,1,0,0,0,0
7987,Maharashtra,2024-07-26 17:09:31,1,0,0,0,0
5154,Uttar Pradesh,2024-08-16 21:26:26,1,0,0,0,0
131,West Bengal,2024-07-23 17:02:19,0,0,0,0,0
192,Karnataka,2024-02-27 01:43:44,1,0,1,0,0
82,Gujarat,2024-01-24 10:28:59,0,0,0,0,0
4309,Maharashtra,2024-10-29 12:54:28,1,0,0,0,0
2338,Gujarat,2024-01-18 13:49:18,0,0,0,0,0
292,Tamil Nadu,2024-02-17 14:03:59,1,0,0,0,0
765,Maharashtra,2024-09-08 09:21:24,1,0,0,0,0
51,Uttar Pradesh,2024-09-29 21:04:43,0,0,0,0,0
144,Delhi,2024-03-04 09:35:06,0,1,0,0,0
994,Uttar Pradesh,2024-02-06 17:19:01,0,0,0,0,0
2393,Maharashtra,2024-05-25 17:14:30,1,0,0,0,0
864,West Bengal,2024-02-29 18:47:50,0,0,0,0,0
36,Gujarat,2024-12-05 18:42:05,0,0,0,0,0
582,Delhi,2024-02-15 10:52:50,1,1,0,0,0
364,Gujarat,2024-08-31 15:47:47,0,0,0,0,0
203,Delhi,2024-01-11 18:25:54,0,1,0,0,0
4987,Karnataka,2024-04-29 18:29:03,1,0,0,0,0
213,West Bengal,2024-09-13 10:41:54,0,0,0,0,0
1315,West Bengal,2024-10-07 05:43:58,1,0,0,0,0
2685,Gujarat,2024-01-16 21:57:18,1,0,0,0,0
220,Karnataka,2024-11-21 15:54:16,1,0,0,0,0
1831,Delhi,2024-10-14 19:49:43,1,1,0,0,0
159,Tamil Nadu,2024-09-11 20:20:53,1,0,0,0,0
475,Karnataka,2024-08-25 15:26:59,0,0,0,0,0
351,Uttar Pradesh,2024-03-15 17:31:32,1,0,0,0,0
726,Uttar Pradesh,2024-01-12 08:34:27,0,0,0,0,0
386,Uttar Pradesh,2024-04-29 17:25:36,0,0,0,0,0
55,Rajasthan,2024-04-29 17:06:40,1,0,0,0,0
394,Uttar Pradesh,2024-07-14 05:33:24,1,0,0,0,0
221,Delhi,2024-08-14 18:30:01,1,1,0,0,0
131,Telangana,2024-11-06 12:39:26,0,0,0,0,0
257,Uttar Pradesh,2024-04-08 12:29:12,1,0,0,0,0
183,Gujarat,2024-12-14 12:14:48,1,0,0,0,0
1376,Gujarat,2024-01-27 08:43:13,0,0,0,0,0
760,Maharashtra,2024-03-10 16:12:17,0,0,0,0,0
