transaction_id,timestamp,sender_id,receiver_id,amount,currency,payment_channel,city,country,merchant_category,transaction_type,risk_score,is_structured,rapid_movement_flag,suspicious_flag,ml_label
T100000,2024-01-01 15:38:00,SND1092,RCV2071,264.44,INR,UPI,Ahmedabad,India,Grocery,payment,12.76,0,0,1,0
T100001,2024-01-07 17:50:00,SND1160,RCV2021,241512.37,INR,NEFT,Surat,India,Retail,cash_withdrawal,55.95,0,0,0,0
T100002,2024-01-01 16:04:00,SND1063,RCV2134,110.9,INR,Card,Delhi,India,Grocery,payment,8.76,0,0,0,0
T100003,2024-01-01 06:20:00,SND1080,RCV2001,359.68,INR,NEFT,Delhi,India,Hospitality,cash_withdrawal,8.32,0,0,0,0
T100004,2024-01-01 03:05:00,SND1189,RCV2207,1173.79,INR,NEFT,Jaipur,India,Electronics,payment,24.86,1,0,0,0
T100005,2024-01-01 07:23:00,SND1062,RCV2080,2352.23,INR,NEFT,Surat,India,Grocery,payment,14.22,0,0,0,0
T100006,2024-01-01 02:11:00,SND1150,RCV2292,1532.33,INR,IMPS,Mumbai,India,Grocery,cash_withdrawal,27.02,0,0,1,0
T100007,2024-01-02 17:20:00,SND_HF_13,RCV2178,1527.59,INR,UPI,Kolkata,India,Services,payment,31.04,0,0,0,0
T100008,2024-01-01 02:40:00,SND1186,RCV2283,2486.33,INR,NEFT,Hyderabad,India,Grocery,payment,34.44,0,0,0,0
T100009,2024-01-04 07:06:00,SND1128,RCV2120,2967.02,INR,UPI,Ahmedabad,India,Jewellery,payment,35.7,0,0,1,0
T100010,2024-01-01 08:13:00,SND1179,RCV2051,1797.59,INR,IMPS,Chennai,India,Electronics,payment,20.9,1,0,0,0
T100011,2024-01-01 09:07:00,SND1129,RCV2217,425.72,INR,RTGS,Ahmedabad,India,Electronics,transfer,56.95,0,0,0,0
T100012,2024-01-02 01:34:00,SND1143,RCV2123,1795.17,INR,IMPS,Kolkata,India,Retail,payment,29.74,0,0,0,0
T100013,2024-01-04 20:00:00,SND1128,RCV2150,1795.03,INR,UPI,Surat,India,Services,payment,1.66,0,0,0,0
T100014,2024-01-02 03:14:00,SND1159,RCV2008,1817.75,INR,IMPS,Kolkata,India,Services,transfer,9.8,0,0,0,0
